site,Achnanthes elliptica,Achnanthes inflata,Achnanthes linearis,Achnanthes sp.1 GALAPAGOS,Achnanthidium exiguum,Achnanthidium microcephalum,Adlafia minuscula,Amphiprora gigantea var. sulcata,Amphora acutiuscula,Amphora spp.,Amphora caroliniana,Amphora coffeaeformis,Amphora fontinalis,Amphora holsatica,Amphora sabiniana,Amphora sp.1 GALAPAGOS,Amphora sp.2 GALAPAGOS,Amphora submontana,Anomoeoneis sphaerophora,Asterionella sp.1 GALAPAGOS,Asteromphalus hookeri,Asteromphalus hiltonianus,Aulacoseira distans,Aulacoseira granulata,Aulacoseira herzogii,Bacillaria sp.1 GALAPAGOS,Bacteriastrum hyalinum,Biddulphia sp.1,Brachysira brebissonii,Caloneis bacillum,Caloneis toussiengii,Campylodiscus clypeus,Cavinula pseudoscutiformis,Chaetoceros diversus,Chaetoceros eibenii,Cocconeis dirupta,Cocconeis placentula var. lineata,Cocconeis placentula var. placentula,Cocconeis soukupi,Coscinodiscus rothii var. 1,Coscinodiscus sp.1 GALAPAGOS,Craticula cuspidata,Cyclostephanos sp.1 GALAPAGOS,Cyclotella atomus,Cyclotella operculata,Cyclotella sp.1 GALAPAGOS,Cyclotella sp.2 GALAPAGOS,Cymbella aspera,Cymbella delicatissima,Cymbella rainierensis,Cymbella sp. 1 GALAPAGOS,Cymbella sp. 2 GALAPAGOS,Cymbella sp. 3 GALAPAGOS,Cymbella sp. 4 GALAPAGOS,Cymbella thienemanni,Cymbella ventricosa,Cymbella yarrensis,Delphineis angustata,Denticula elegans,Denticula sp.2 GALAPAGOS,Diploneis gruendlerii,Diploneis notabilis,Diploneis puella,Diploneis smithii,Discostella stelligera,Encyonopsis microcephala,Encyonema muelleri,Epithemia argus,Epithemia emarginata,Epithemia sorex,Epithemia sp. 1 GALAPAGOS,Eunotia arcubus,Eunotia fallax,Eunotia parallela,Eunotia soleirolii,Fragilaria amphicephaloides,Fragilaria capucina var. capitellata,Fragilaria construens var. venter,Fragilaria incisa,Fragilaria pinnata var. lancettula,Fragilaria sp. 1 GALAPAGOS,Fragilaria sp. 2 GALAPAGOS,Fragilaria sp. 3 GALAPAGOS,Fragilaria sp. 4 GALAPAGOS,Frustulia isabelae,Frustulia rhomboides,Frustulia sp. 1 GALAPAGOS,Gomphonema angustatum,Gomphonema brasiliensis,Gomphonema gracile,Gomphonema gracile var. naviculacea,Gomphonema grovei,Gomphonema parvulum,Gomphonema sp.1 GALAPAGOS,Gomphonema subclavatum,Gomphonema subclavatum var. mexicanum,Grammatophora oceanica,Hannaea arcus,Hantzschia amphioxys,Hantzschia sp.1 GALAPAGOS,Iconella cuspidata,Karayevia laterostrata,Lampriscus kittonii,Licmophora sp.1 GALAPAGOS,Mastogloia braunii,Mastogloia braunii f elongata,Mastogloia decussata,Mastogloia drouetiana,Mastogloia exigua,Mastogloia habensis,Mastogloia lanceolata,Mastogloia pusilla,Mastogloia sp. 1 GALAPAGOS,Mastogloia sp. 2 GALAPAGOS,Mastogloia sp. 3 GALAPAGOS,Mastogloia sp. 4 GALAPAGOS,Mastogloia sp. 5 GALAPAGOS,Mastogloia sp. 6 GALAPAGOS,Mastogloia sp. 7 GALAPAGOS,Mastogloia sp. 8 GALAPAGOS,Navicula angusta,Navicula cari,Navicula cincta,Navicula concamerata,Navicula crateri,Navicula cryptocephaloides,Navicula cryptotenella,Navicula formenterae,Navicula gondwana,Navicula gracilis,Navicula rhynchotella,Navicula salinarum,Navicula sp.1 GALAPAGOS,Navicula sp.2 GALAPAGOS,Navicula sp.3 GALAPAGOS,Navicula sp.4 GALAPAGOS,Navicula sp.5 GALAPAGOS,Navicula sp.6 GALAPAGOS,Navicula sp.7 GALAPAGOS,Navicula sp.8 GALAPAGOS,Navicula tagiana,Navicula valida,Navicula viridula,Navicymbula pusilla,Neidium iridis var. amphigomphus,Nitzschia acuta,Nitzschia amphibia,Nitzschia beagleana,Nitzschia communis,Nitzschia commutata,Nitzschia confinis,Fragilariopsis curta,Nitzschia elliptica,Nitzschia fasciculata,Nitzschia fonticola,Nitzschia frustulum,Nitzschia gracilis,Nitzschia kutzingiana,Nitzschia microcephala,Nitzschia obtusa,Nitzschia palea,Nitzschia paleacea,Nitzschia recta,Nitzschia sigma,Nitzschia socialis var. kariana,Nitzschia sp.1 GALAPAGOS,Nitzschia sp. 2 GALAPAGOS,Nitzschia sp.3 GALAPAGOS,Nitzschia sp.4 GALAPAGOS,Nitzschia subcommunis,Nitzschia sublinearis,Nitzschia vitrea,Odontella aurita,Biddulphia birostrata,Pinnularia abaujensis,Pinnularia acuminata,Pinnularia biceps,Pinnularia brauniana,Pinnularia brevicostata,Pinnularia gentilis,Pinnularia microstauron,Pinnularia nobilis,Pinnularia sp.2 GALAPAGOS,Pinnularia sp.3 GALAPAGOS,Pinnularia subcapitata,Placoneis explanata,Plagiotropis vitrea,Planothidium lanceolatum,Pleurosigma affine,Pleurosigma normanii,Rhopalodia gibba,Rhopalodia gibberula,Sellaphora laevissima,Sellaphora pupula,Stauroneis fluminea,Stauroneis sp. 1 GALAPAGOS,Staurosirella pinnata,Stenopterobia delicatissima,Stephanodiscus niagarae,Striatella hustedtiana,Surirella arcta,Surirella biseriata,Surirella guatimalensis,Surirella ovalis,Surirella tenera,Surirella terricola,Synedra isabelae,Synedra tabulata,Tabellaria sp.1 GALAPAGOS,Tryblionella acuta,Tryblionella punctata,Ulnaria delicatissima,Ulnaria ulna
Bainbridge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beagle,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cactus Ridge,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Cementario,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
El Junco,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
El Sarten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernandina,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Frigate Bird Pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genovesa,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Salinas Lagoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
