code,habitat,island,site,year,lat,lon
Galapgs_Bainbrdg,Lake,Santiago,Bainbridge,1991,-0.352,-90.565
Galapgs_Beagle,Lake,Isabela,Beagle,,-0.281,-91.351
Galapgs_CactsRdg,Lake,Isabela,Cactus Ridge,1991,-0.234,-91.39
Galapgs_Cementar,Lake,Isabela,Cementario,1991,-0.229,-91.39
Galapgs_El Junco,Lake,San Cristóbal,El Junco,1991,-0.895,-89.48
Galapgs_ElSarten,Lake,Santiago,El Sarten,1991,-0.247,-90.813
Galapgs_Fernandn,Lake,Fernandina,Fernandina,1977,-0.358,-91.387
Galapgs_FrgtBrdP,Pond,Santa Cruz,Frigate Bird Pond,1977,-0.503,-90.335
Galapgs_Genovesa,Lake,Genovesa,Genovesa,1966,0.327,-89.9578
Galapgs_SalnsLgn,Lagoon,Isabela,Salinas Lagoon,1991,-0.241,-91.387
Galapgs_SaltMine,Lake,Santiago,Salt Mine,1991,-0.241,-90.836
Galapgs_Santiag3,Lagoon,Santiago,Santiago 3,1977,-0.204,-90.829
Galapgs_SergLagn,Lagoon,Santiago,Sergio Lagoon,,-0.208,-90.83
Galapgs_SntgLgn2,Lagoon,Santiago,Santiago Lagoon2,1977,-0.201,-90.828
Galapgs_SntgLgn4,Lagoon,Santiago,Santiago Lagoon4,1977,-0.233,-90.81
Galapgs_TagusCov,Lake,Isabela,Tagus Cove,,-0.257,-91.372
Galapgs_TrtsPndI,Pond,Santa Cruz,Tortoise Pond I,1977,-0.673,-90.439
Galapgs_TrtsPnII,Pond,Santa Cruz,Tortoise Pond II,1977,-0.717,-90.433
Galapgs_WilsnLgn,Lagoon,Isabela,Wilson  Lagoon,1991,-0.222,-90.812
Galapgs_WttmrSpr,Spring,Floreana,Wittmer Spring,1977,-1.308,-90.44
